from,to,distance_km,predicted_flow,estimated_speed_kmh,travel_time_sec
7003,24623,0.0,800,53.86,30.0
7003,5284,0.0,800,53.86,30.0
7007,7007,0.0,800,53.86,30.0
7007,5346,0.014,800,53.86,30.93
7009,37467,0.091,800,53.86,36.11
7009,53873,0.083,800,53.86,35.58
7015,8855,0.026,800,53.86,31.75
7015,24924,0.192,800,53.86,42.86
7016,11418,0.042,800,53.86,32.82
7016,55218,0.097,800,53.86,36.48
7024,4997,0.0,800,53.86,30.0
7024,37780,0.003,800,53.86,30.19
7025,7025,0.0,800,53.86,30.0
7025,9835,0.0,800,53.86,30.0
7029,7029,0.0,800,53.86,30.0
7029,8156,0.0,800,53.86,30.0
7030,7761,0.03,800,53.86,32.02
7030,7924,0.038,800,53.86,32.56
7031,31380,0.043,800,53.86,32.86
7031,51521,0.183,800,53.86,42.2
7032,49732,0.0,800,53.86,30.0
7032,52043,0.018,800,53.86,31.23
7038,13523,0.0,800,53.86,30.0
7038,7038,0.0,800,53.86,30.0
7040,57812,0.0,800,53.86,30.0
7040,10482,0.0,800,53.86,30.0
7084,19957,0.0,800,53.86,30.0
7084,44744,0.074,800,53.86,34.94
7096,5257,0.004,800,53.86,30.27
7096,3636,0.008,800,53.86,30.55
7102,7822,0.0,800,53.86,30.0
7102,7102,0.0,800,53.86,30.0
7110,25382,0.0,800,53.86,30.0
7110,44115,0.012,800,53.86,30.79
7117,27167,0.044,800,53.86,32.91
7117,45572,0.058,800,53.86,33.9
7121,31391,0.035,800,53.86,32.32
7121,7239,0.057,800,53.86,33.82
7123,26416,0.003,800,53.86,30.2
7123,7258,0.036,800,53.86,32.4
7130,10150,0.003,800,53.86,30.23
7130,16155,0.003,800,53.86,30.23
7131,26119,0.002,800,53.86,30.16
7131,8385,0.003,800,53.86,30.23
7147,18352,0.037,800,53.86,32.49
7147,34072,0.056,800,53.86,33.75
7152,6744,0.005,800,53.86,30.33
7152,7415,0.091,800,53.86,36.11
7153,37607,0.049,800,53.86,33.25
7153,15216,0.075,800,53.86,35.0
7155,34049,0.002,800,53.86,30.16
7155,3411,0.002,800,53.86,30.16
7156,7156,0.0,800,53.86,30.0
7156,7265,0.027,800,53.86,31.8
7158,50130,0.011,800,53.86,30.77
7158,37210,0.013,800,53.86,30.89
7159,7159,0.0,800,53.86,30.0
7159,554,0.0,800,53.86,30.0
7161,5540,0.0,800,53.86,30.0
7161,7161,0.0,800,53.86,30.0
7163,9587,0.006,800,53.86,30.38
7163,37020,0.009,800,53.86,30.6
7164,9570,0.003,800,53.86,30.2
7164,54062,0.005,800,53.86,30.33
7165,32707,0.0,800,53.86,30.0
7165,44487,0.0,800,53.86,30.0
7167,7995,0.0,800,53.86,30.0
7167,29974,0.023,800,53.86,31.53
7172,3369,0.05,800,53.86,33.37
7172,3394,0.065,800,53.86,34.37
7175,12095,0.0,800,53.86,30.0
7175,17294,0.082,800,53.86,35.49
7177,1136,0.0,800,53.86,30.0
7177,7177,0.0,800,53.86,30.0
7186,36514,0.001,800,53.86,30.08
7186,1397,0.147,800,53.86,39.84
7188,7188,0.0,800,53.86,30.0
7188,35173,0.095,800,53.86,36.35
7190,47116,0.004,800,53.86,30.25
7190,28941,0.028,800,53.86,31.85
7193,48808,0.0,800,53.86,30.0
7193,51793,0.163,800,53.86,40.9
7198,18276,0.0,800,53.86,30.0
7198,1104,0.075,800,53.86,34.99
7204,9206,0.028,800,53.86,31.88
7204,3161,0.046,800,53.86,33.05
7211,10350,0.0,800,53.86,30.0
7211,7211,0.0,800,53.86,30.0
7212,32280,0.014,800,53.86,30.93
7212,57452,0.119,800,53.86,37.98
7219,36799,0.082,800,53.86,35.5
7219,10939,0.216,800,53.86,44.4
7228,9849,0.004,800,53.86,30.23
7228,49945,0.022,800,53.86,31.48
7239,7449,0.005,800,53.86,30.35
7239,33665,0.005,800,53.86,30.35
7240,12052,0.058,800,53.86,33.88
7240,11896,0.228,800,53.86,45.21
7245,4677,0.034,800,53.86,32.27
7245,36582,0.054,800,53.86,33.63
7246,7246,0.0,800,53.86,30.0
7246,482,0.02,800,53.86,31.31
7251,3082,0.005,800,53.86,30.36
7251,54090,0.129,800,53.86,38.65
7254,3528,0.0,800,53.86,30.02
7254,13658,0.047,800,53.86,33.12
7258,8364,0.0,800,53.86,30.0
7258,7258,0.0,800,53.86,30.0
7264,6140,0.0,800,53.86,30.0
7264,20399,0.037,800,53.86,32.48
7265,17093,0.027,800,53.86,31.8
7265,7156,0.027,800,53.86,31.8
7268,37542,0.011,800,53.86,30.72
7268,36085,0.011,800,53.86,30.72
7271,17200,0.0,800,53.86,30.0
7271,7271,0.0,800,53.86,30.0
7280,46230,0.0,800,53.86,30.0
7280,20656,0.008,800,53.86,30.53
7283,7283,0.0,800,53.86,30.0
7283,32203,0.0,800,53.86,30.0
7292,9031,0.0,800,53.86,30.0
7292,21411,0.0,800,53.86,30.0
7293,21326,0.0,800,53.86,30.0
7293,7293,0.0,800,53.86,30.0
7295,52976,0.0,800,53.86,30.0
7295,7295,0.0,800,53.86,30.0
7299,7299,0.0,800,53.86,30.0
7299,8328,0.0,800,53.86,30.0
7305,40980,0.0,800,53.86,30.0
7305,39420,0.0,800,53.86,30.0
7308,7308,0.0,800,53.86,30.0
7308,3357,0.0,800,53.86,30.0
7319,7319,0.0,800,53.86,30.0
7319,20216,0.121,800,53.86,38.1
7324,7324,0.0,800,53.86,30.0
7324,6794,0.0,800,53.86,30.0
7328,1322,0.032,800,53.86,32.17
7328,26877,0.032,800,53.86,32.17
7335,37657,0.002,800,53.86,30.16
7335,3463,0.006,800,53.86,30.39
7337,36965,0.002,800,53.86,30.12
7337,41521,0.003,800,53.86,30.19
7344,40960,0.15,800,53.86,40.01
7344,22793,0.15,800,53.86,40.03
7356,19274,0.004,800,53.86,30.24
7356,4580,0.043,800,53.86,32.84
7364,7364,0.0,800,53.86,30.0
7364,9629,0.029,800,53.86,31.94
7369,1447,0.0,800,53.86,30.0
7369,9927,0.0,800,53.86,30.0
7370,7370,0.0,800,53.86,30.0
7370,38413,0.003,800,53.86,30.23
7384,10771,0.001,800,53.86,30.07
7384,53059,0.111,800,53.86,37.4
7389,46383,0.0,800,53.86,30.0
7389,5474,0.047,800,53.86,33.13
7391,10025,0.0,800,53.86,30.0
7391,17560,0.0,800,53.86,30.0
7395,7395,0.0,800,53.86,30.0
7395,39,0.001,800,53.86,30.06
7401,37542,0.0,800,53.86,30.0
7401,36085,0.0,800,53.86,30.0
7406,7406,0.0,800,53.86,30.0
7406,11192,0.0,800,53.86,30.0
7413,7413,0.0,800,53.86,30.0
7413,17,0.0,800,53.86,30.0
7415,6744,0.089,800,53.86,35.95
7415,7152,0.091,800,53.86,36.11
7418,26444,0.02,800,53.86,31.31
7418,51609,0.153,800,53.86,40.22
7423,9062,0.0,800,53.86,30.0
7423,6899,0.019,800,53.86,31.29
7424,7424,0.0,800,53.86,30.0
7424,33882,0.0,800,53.86,30.0
7449,33665,0.0,800,53.86,30.0
7449,7239,0.005,800,53.86,30.35
7458,52874,0.013,800,53.86,30.87
7458,4387,0.013,800,53.86,30.87
7470,31488,0.001,800,53.86,30.08
7470,18749,0.232,800,53.86,45.53
7473,15934,0.0,800,53.86,30.0
7473,2481,0.031,800,53.86,32.06
7481,39990,0.069,800,53.86,34.64
7481,2780,0.086,800,53.86,35.78
7485,43030,0.0,800,53.86,30.0
7485,37939,0.001,800,53.86,30.09
7491,31383,0.026,800,53.86,31.77
7491,23416,0.089,800,53.86,35.95
7500,32791,0.001,800,53.86,30.04
7500,42594,0.077,800,53.86,35.17
7505,35650,0.017,800,53.86,31.13
7505,2412,0.018,800,53.86,31.21
7516,35937,0.0,800,53.86,30.0
7516,9469,0.019,800,53.86,31.24
7518,27751,0.0,800,53.86,30.0
7518,23388,0.0,800,53.86,30.0
7521,7521,0.0,800,53.86,30.0
7521,6381,0.0,800,53.86,30.0
7522,27248,0.0,800,53.86,30.0
7522,7522,0.0,800,53.86,30.0
7535,45064,0.0,800,53.86,30.0
7535,55897,0.0,800,53.86,30.02
7541,7541,0.0,800,53.86,30.0
7541,21580,0.006,800,53.86,30.4
7543,2308,0.004,800,53.86,30.28
7543,9053,0.007,800,53.86,30.48
7550,35499,0.008,800,53.86,30.54
7550,35221,0.017,800,53.86,31.15
7558,7558,0.0,800,53.86,30.0
